"SimpSSI","beta.a","beta.w","om_tol","nr_hv","hv_blond","nb_Gam","nb_latent","nb_dist","LPCD_mean","LPCD_sd","scenario"
0.847215176653939,0.880692314921323,0.899582849442629,0.954904676981494,0.971504427608341,0.973696608978131,0.974425061405799,0.754026730564168,0.967651539614291,0.886344137344753,-0.287230461856646,"result_df_Asy_gamma_env1"
0.634584817122839,0.658202045486667,0.643145973218656,0.314120582566512,0.601631395020766,0.646943631849819,0.596938568902936,0.749183480377768,0.490314336597709,0.865561609656411,0.143089223327915,"result_df_Asy_gamma_env2"
0.775812890624557,0.827568958858494,0.81242560469709,0.936885385492253,0.944726740240244,0.953652189917389,0.946271809986613,0.792572646633142,0.939130630835282,0.856275418010434,0.195515542968818,"result_df_Asy_normal_env1"
0.426542345575018,0.431193782333754,0.405253289147501,0.661956002416692,0.73281533293961,0.797276188983838,0.736009074515849,0.735524441856652,0.613542475287984,0.762788125876859,0.725991849527539,"result_df_Asy_normal_env2"
0.743072167612154,0.788338477826015,0.773059502686225,0.900217585437484,0.918978387751949,0.931182358526992,0.91910530698258,0.741190379534176,0.907845929458479,0.822253932120915,0.318581823280415,"result_df_Asy_uniform_env1"
0.326020562673244,0.328854830416523,0.302963094931807,0.542337880797,0.684714786297406,0.760516718671396,0.699016308805563,0.687654169254184,0.570352598666372,0.69416319237419,0.651286878825764,"result_df_Asy_uniform_env2"
0.875828425265217,0.904069098383394,0.929641185882859,0.991466487861628,0.990024479388509,0.991998393518126,0.99035524006088,0.937817108286381,0.989856608974094,0.964713412426874,-0.0154916352351408,"result_df_Sym_gamma_env1"
0.634210729270594,0.676630333683963,0.705938910964543,0.6471678413441,0.751289966671514,0.784927193615156,0.736043554892106,0.830769750258302,0.651191402621968,0.925181161330096,0.629451243534887,"result_df_Sym_gamma_env2"
0.90813514541373,0.937843693099767,0.945311339952392,0.988360197091433,0.991745082740255,0.992558104941962,0.991661544268035,0.927119228775832,0.991079959462036,0.97037059610478,0.0515528919774715,"result_df_Sym_normal_env1"
0.564804106389487,0.643486334502343,0.646804589433475,0.76177316437346,0.830023181216036,0.846888267207846,0.827674177848079,0.80083079795909,0.82254760548858,0.797033024388839,0.745645609061402,"result_df_Sym_normal_env2"
0.815386276598175,0.863498560950647,0.830845403494267,0.966575830058773,0.973394381412926,0.975606190298483,0.97392099787048,0.881033862570204,0.971823922765343,0.919743742732117,0.630380221570273,"result_df_Sym_uniform_env1"
0.493335227507072,0.59045276674967,0.589577092506849,0.690562616134554,0.790194029980369,0.812622724344866,0.804096632138463,0.749882628525824,0.769572174992464,0.746234310712286,0.711852107911684,"result_df_Sym_uniform_env2"
